Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
01/27/2021,01/01/2020,01/23/2021,NV,Washoe County,32031,Medium metro,523,5517
01/27/2021,01/01/2020,01/23/2021,NV,Carson City,32510,Small metro,101,1261
01/27/2021,01/01/2020,01/23/2021,NY,Albany County,36001,Medium metro,399,4402
01/27/2021,01/01/2020,01/23/2021,NY,Allegany County,36003,Noncore,58,469
01/27/2021,01/01/2020,01/23/2021,NY,Bronx County,36005,Large central metro,4573,17378
01/27/2021,01/01/2020,01/23/2021,NY,Broome County,36007,Small metro,276,2729
01/27/2021,01/01/2020,01/23/2021,NY,Cattaraugus County,36009,Micropolitan,45,836
01/27/2021,01/01/2020,01/23/2021,NY,Cayuga County,36011,Micropolitan,56,811
01/27/2021,01/01/2020,01/23/2021,NY,Chautauqua County,36013,Micropolitan,34,1303
01/27/2021,01/01/2020,01/23/2021,NY,Chemung County,36015,Small metro,119,1086
01/27/2021,01/01/2020,01/23/2021,NY,Chenango County,36017,Noncore,31,542
01/27/2021,01/01/2020,01/23/2021,NY,Clinton County,36019,Micropolitan,11,878
01/27/2021,01/01/2020,01/23/2021,NY,Columbia County,36021,Micropolitan,66,678
01/27/2021,01/01/2020,01/23/2021,NY,Cortland County,36023,Micropolitan,41,470
01/27/2021,01/01/2020,01/23/2021,NY,Delaware County,36025,Noncore,10,436
01/27/2021,01/01/2020,01/23/2021,NY,Dutchess County,36027,Large fringe metro,315,3141
01/27/2021,01/01/2020,01/23/2021,NY,Erie County,36029,Large central metro,1486,12308
01/27/2021,01/01/2020,01/23/2021,NY,Essex County,36031,Noncore,10,390
01/27/2021,01/01/2020,01/23/2021,NY,Franklin County,36033,Micropolitan,10,414
01/27/2021,01/01/2020,01/23/2021,NY,Fulton County,36035,Micropolitan,51,564
01/27/2021,01/01/2020,01/23/2021,NY,Genesee County,36037,Micropolitan,57,631
01/27/2021,01/01/2020,01/23/2021,NY,Herkimer County,36043,Medium metro,19,488
01/27/2021,01/01/2020,01/23/2021,NY,Jefferson County,36045,Small metro,18,915
01/27/2021,01/01/2020,01/23/2021,NY,Kings County,36047,Large central metro,6615,23472
01/27/2021,01/01/2020,01/23/2021,NY,Livingston County,36051,Large fringe metro,28,408
01/27/2021,01/01/2020,01/23/2021,NY,Madison County,36053,Medium metro,74,644
01/27/2021,01/01/2020,01/23/2021,NY,Monroe County,36055,Large central metro,874,9352
01/27/2021,01/01/2020,01/23/2021,NY,Montgomery County,36057,Micropolitan,62,702
01/27/2021,01/01/2020,01/23/2021,NY,Nassau County,36059,Large fringe metro,3626,16136
01/27/2021,01/01/2020,01/23/2021,NY,New York County,36061,Large central metro,4384,18917
01/27/2021,01/01/2020,01/23/2021,NY,Niagara County,36063,Large fringe metro,163,2458
01/27/2021,01/01/2020,01/23/2021,NY,Oneida County,36065,Medium metro,299,3146
01/27/2021,01/01/2020,01/23/2021,NY,Onondaga County,36067,Medium metro,623,6325
01/27/2021,01/01/2020,01/23/2021,NY,Ontario County,36069,Large fringe metro,93,1174
01/27/2021,01/01/2020,01/23/2021,NY,Orange County,36071,Large fringe metro,621,3573
01/27/2021,01/01/2020,01/23/2021,NY,Orleans County,36073,Large fringe metro,45,332
01/27/2021,01/01/2020,01/23/2021,NY,Oswego County,36075,Medium metro,41,833
01/27/2021,01/01/2020,01/23/2021,NY,Otsego County,36077,Micropolitan,36,887
01/27/2021,01/01/2020,01/23/2021,NY,Putnam County,36079,Large fringe metro,77,630
01/27/2021,01/01/2020,01/23/2021,NY,Queens County,36081,Large central metro,5892,20112
01/27/2021,01/01/2020,01/23/2021,NY,Rensselaer County,36083,Medium metro,89,1608
01/27/2021,01/01/2020,01/23/2021,NY,Richmond County,36085,Large central metro,1260,5132
01/27/2021,01/01/2020,01/23/2021,NY,Rockland County,36087,Large fringe metro,778,3017
01/27/2021,01/01/2020,01/23/2021,NY,St. Lawrence County,36089,Micropolitan,61,1030
01/27/2021,01/01/2020,01/23/2021,NY,Saratoga County,36091,Medium metro,35,1632
01/27/2021,01/01/2020,01/23/2021,NY,Schenectady County,36093,Medium metro,80,1776
01/27/2021,01/01/2020,01/23/2021,NY,Seneca County,36099,Micropolitan,27,228
01/27/2021,01/01/2020,01/23/2021,NY,Steuben County,36101,Micropolitan,120,1081
01/27/2021,01/01/2020,01/23/2021,NY,Suffolk County,36103,Large fringe metro,3192,16431
01/27/2021,01/01/2020,01/23/2021,NY,Sullivan County,36105,Noncore,53,698
01/27/2021,01/01/2020,01/23/2021,NY,Tioga County,36107,Small metro,47,336
01/27/2021,01/01/2020,01/23/2021,NY,Tompkins County,36109,Small metro,25,708
01/27/2021,01/01/2020,01/23/2021,NY,Ulster County,36111,Small metro,102,1527
01/27/2021,01/01/2020,01/23/2021,NY,Warren County,36113,Small metro,59,1047
01/27/2021,01/01/2020,01/23/2021,NY,Washington County,36115,Small metro,13,562
01/27/2021,01/01/2020,01/23/2021,NY,Wayne County,36117,Large fringe metro,35,691
01/27/2021,01/01/2020,01/23/2021,NY,Westchester County,36119,Large fringe metro,2213,9541
01/27/2021,01/01/2020,01/23/2021,NY,Wyoming County,36121,Noncore,17,350
01/27/2021,01/01/2020,01/23/2021,NY,Yates County,36123,Large fringe metro,12,282
01/27/2021,01/01/2020,01/23/2021,OH,Adams County,39001,Noncore,12,302
01/27/2021,01/01/2020,01/23/2021,OH,Allen County,39003,Small metro,244,1729
01/27/2021,01/01/2020,01/23/2021,OH,Ashland County,39005,Micropolitan,70,584
01/27/2021,01/01/2020,01/23/2021,OH,Ashtabula County,39007,Micropolitan,96,1068
01/27/2021,01/01/2020,01/23/2021,OH,Athens County,39009,Micropolitan,16,484
01/27/2021,01/01/2020,01/23/2021,OH,Auglaize County,39011,Micropolitan,46,464
01/27/2021,01/01/2020,01/23/2021,OH,Belmont County,39013,Small metro,32,585
01/27/2021,01/01/2020,01/23/2021,OH,Brown County,39015,Large fringe metro,10,411
01/27/2021,01/01/2020,01/23/2021,OH,Butler County,39017,Large fringe metro,299,3627
01/27/2021,01/01/2020,01/23/2021,OH,Champaign County,39021,Micropolitan,13,320
01/27/2021,01/01/2020,01/23/2021,OH,Clark County,39023,Small metro,176,1852
01/27/2021,01/01/2020,01/23/2021,OH,Clermont County,39025,Large fringe metro,63,1320
01/27/2021,01/01/2020,01/23/2021,OH,Clinton County,39027,Micropolitan,30,410
01/27/2021,01/01/2020,01/23/2021,OH,Columbiana County,39029,Micropolitan,110,1184
01/27/2021,01/01/2020,01/23/2021,OH,Coshocton County,39031,Micropolitan,20,349
01/27/2021,01/01/2020,01/23/2021,OH,Crawford County,39033,Micropolitan,46,513
01/27/2021,01/01/2020,01/23/2021,OH,Cuyahoga County,39035,Large central metro,1709,18914
01/27/2021,01/01/2020,01/23/2021,OH,Darke County,39037,Micropolitan,70,594
01/27/2021,01/01/2020,01/23/2021,OH,Defiance County,39039,Micropolitan,65,661
01/27/2021,01/01/2020,01/23/2021,OH,Delaware County,39041,Large fringe metro,55,1023
01/27/2021,01/01/2020,01/23/2021,OH,Erie County,39043,Micropolitan,115,1243
01/27/2021,01/01/2020,01/23/2021,OH,Fairfield County,39045,Large fringe metro,112,1490
01/27/2021,01/01/2020,01/23/2021,OH,Fayette County,39047,Micropolitan,17,317
01/27/2021,01/01/2020,01/23/2021,OH,Franklin County,39049,Large central metro,1468,15465
01/27/2021,01/01/2020,01/23/2021,OH,Fulton County,39051,Medium metro,31,326
01/27/2021,01/01/2020,01/23/2021,OH,Gallia County,39053,Micropolitan,35,445
01/27/2021,01/01/2020,01/23/2021,OH,Geauga County,39055,Large fringe metro,108,984
01/27/2021,01/01/2020,01/23/2021,OH,Greene County,39057,Medium metro,143,1409
01/27/2021,01/01/2020,01/23/2021,OH,Guernsey County,39059,Micropolitan,16,401
01/27/2021,01/01/2020,01/23/2021,OH,Hamilton County,39061,Large central metro,936,11587
01/27/2021,01/01/2020,01/23/2021,OH,Hancock County,39063,Micropolitan,116,1066
01/27/2021,01/01/2020,01/23/2021,OH,Hardin County,39065,Noncore,14,242
01/27/2021,01/01/2020,01/23/2021,OH,Harrison County,39067,Noncore,13,172
01/27/2021,01/01/2020,01/23/2021,OH,Henry County,39069,Noncore,25,186
01/27/2021,01/01/2020,01/23/2021,OH,Highland County,39071,Noncore,29,429
01/27/2021,01/01/2020,01/23/2021,OH,Hocking County,39073,Large fringe metro,23,226
01/27/2021,01/01/2020,01/23/2021,OH,Holmes County,39075,Noncore,59,376
01/27/2021,01/01/2020,01/23/2021,OH,Huron County,39077,Micropolitan,53,618
01/27/2021,01/01/2020,01/23/2021,OH,Jackson County,39079,Micropolitan,15,386
01/27/2021,01/01/2020,01/23/2021,OH,Jefferson County,39081,Small metro,67,904
01/27/2021,01/01/2020,01/23/2021,OH,Knox County,39083,Micropolitan,47,653
01/27/2021,01/01/2020,01/23/2021,OH,Lake County,39085,Large fringe metro,194,2329
01/27/2021,01/01/2020,01/23/2021,OH,Lawrence County,39087,Medium metro,14,455
01/27/2021,01/01/2020,01/23/2021,OH,Licking County,39089,Large fringe metro,116,1694
01/27/2021,01/01/2020,01/23/2021,OH,Logan County,39091,Micropolitan,26,435
01/27/2021,01/01/2020,01/23/2021,OH,Lorain County,39093,Large fringe metro,212,3032
01/27/2021,01/01/2020,01/23/2021,OH,Lucas County,39095,Medium metro,758,6595
01/27/2021,01/01/2020,01/23/2021,OH,Madison County,39097,Large fringe metro,15,317
01/27/2021,01/01/2020,01/23/2021,OH,Mahoning County,39099,Medium metro,512,4218
01/27/2021,01/01/2020,01/23/2021,OH,Marion County,39101,Micropolitan,126,826
01/27/2021,01/01/2020,01/23/2021,OH,Medina County,39103,Large fringe metro,87,1440
01/27/2021,01/01/2020,01/23/2021,OH,Mercer County,39107,Micropolitan,52,401
01/27/2021,01/01/2020,01/23/2021,OH,Miami County,39109,Medium metro,85,1138
01/27/2021,01/01/2020,01/23/2021,OH,Montgomery County,39113,Medium metro,945,9007
01/27/2021,01/01/2020,01/23/2021,OH,Morgan County,39115,Noncore,21,179
01/27/2021,01/01/2020,01/23/2021,OH,Muskingum County,39119,Micropolitan,111,1314
01/27/2021,01/01/2020,01/23/2021,OH,Noble County,39121,Noncore,28,113
01/27/2021,01/01/2020,01/23/2021,OH,Ottawa County,39123,Micropolitan,25,349
01/27/2021,01/01/2020,01/23/2021,OH,Paulding County,39125,Noncore,10,142
01/27/2021,01/01/2020,01/23/2021,OH,Perry County,39127,Large fringe metro,12,274
01/27/2021,01/01/2020,01/23/2021,OH,Pickaway County,39129,Large fringe metro,38,498
01/27/2021,01/01/2020,01/23/2021,OH,Portage County,39133,Medium metro,89,1422
01/27/2021,01/01/2020,01/23/2021,OH,Preble County,39135,Noncore,18,308
01/27/2021,01/01/2020,01/23/2021,OH,Putnam County,39137,Noncore,45,272
01/27/2021,01/01/2020,01/23/2021,OH,Richland County,39139,Small metro,96,1609
01/27/2021,01/01/2020,01/23/2021,OH,Ross County,39141,Micropolitan,89,1123
01/27/2021,01/01/2020,01/23/2021,OH,Sandusky County,39143,Micropolitan,54,606
01/27/2021,01/01/2020,01/23/2021,OH,Scioto County,39145,Micropolitan,72,1282
01/27/2021,01/01/2020,01/23/2021,OH,Seneca County,39147,Micropolitan,43,534
01/27/2021,01/01/2020,01/23/2021,OH,Shelby County,39149,Micropolitan,29,434
01/27/2021,01/01/2020,01/23/2021,OH,Stark County,39151,Medium metro,622,5372
01/27/2021,01/01/2020,01/23/2021,OH,Summit County,39153,Medium metro,600,7041
01/27/2021,01/01/2020,01/23/2021,OH,Trumbull County,39155,Medium metro,221,2339
01/27/2021,01/01/2020,01/23/2021,OH,Tuscarawas County,39157,Micropolitan,156,1287
01/27/2021,01/01/2020,01/23/2021,OH,Union County,39159,Large fringe metro,13,377
01/27/2021,01/01/2020,01/23/2021,OH,Van Wert County,39161,Micropolitan,39,268
01/27/2021,01/01/2020,01/23/2021,OH,Warren County,39165,Large fringe metro,149,2044
01/27/2021,01/01/2020,01/23/2021,OH,Washington County,39167,Micropolitan,106,956
01/27/2021,01/01/2020,01/23/2021,OH,Wayne County,39169,Micropolitan,152,1270
01/27/2021,01/01/2020,01/23/2021,OH,Williams County,39171,Noncore,37,292
01/27/2021,01/01/2020,01/23/2021,OH,Wood County,39173,Medium metro,93,1311
01/27/2021,01/01/2020,01/23/2021,OH,Wyandot County,39175,Noncore,29,259
01/27/2021,01/01/2020,01/23/2021,OK,Beckham County,40009,Micropolitan,32,250
01/27/2021,01/01/2020,01/23/2021,OK,Bryan County,40013,Micropolitan,54,502
01/27/2021,01/01/2020,01/23/2021,OK,Caddo County,40015,Noncore,25,269
01/27/2021,01/01/2020,01/23/2021,OK,Canadian County,40017,Large fringe metro,51,793
01/27/2021,01/01/2020,01/23/2021,OK,Carter County,40019,Micropolitan,39,604
01/27/2021,01/01/2020,01/23/2021,OK,Cherokee County,40021,Micropolitan,49,513
01/27/2021,01/01/2020,01/23/2021,OK,Cleveland County,40027,Large fringe metro,249,2211
01/27/2021,01/01/2020,01/23/2021,OK,Comanche County,40031,Small metro,104,1228
01/27/2021,01/01/2020,01/23/2021,OK,Creek County,40037,Medium metro,29,591
01/27/2021,01/01/2020,01/23/2021,OK,Custer County,40039,Micropolitan,41,324
01/27/2021,01/01/2020,01/23/2021,OK,Delaware County,40041,Noncore,63,529
01/27/2021,01/01/2020,01/23/2021,OK,Garfield County,40047,Micropolitan,136,867
01/27/2021,01/01/2020,01/23/2021,OK,Garvin County,40049,Noncore,12,271
01/27/2021,01/01/2020,01/23/2021,OK,Grady County,40051,Large fringe metro,43,477
01/27/2021,01/01/2020,01/23/2021,OK,Hughes County,40063,Noncore,10,152
01/27/2021,01/01/2020,01/23/2021,OK,Jackson County,40065,Micropolitan,46,254
01/27/2021,01/01/2020,01/23/2021,OK,Kay County,40071,Micropolitan,46,516
01/27/2021,01/01/2020,01/23/2021,OK,Kingfisher County,40073,Noncore,18,131
01/27/2021,01/01/2020,01/23/2021,OK,Kiowa County,40075,Noncore,15,128
01/27/2021,01/01/2020,01/23/2021,OK,Le Flore County,40079,Medium metro,10,437
01/27/2021,01/01/2020,01/23/2021,OK,Lincoln County,40081,Large fringe metro,24,282
01/27/2021,01/01/2020,01/23/2021,OK,Logan County,40083,Large fringe metro,23,255
01/27/2021,01/01/2020,01/23/2021,OK,Love County,40085,Noncore,12,116
01/27/2021,01/01/2020,01/23/2021,OK,McClain County,40087,Large fringe metro,22,283
01/27/2021,01/01/2020,01/23/2021,OK,McCurtain County,40089,Noncore,26,340
01/27/2021,01/01/2020,01/23/2021,OK,Major County,40093,Noncore,13,93
01/27/2021,01/01/2020,01/23/2021,OK,Mayes County,40097,Noncore,16,320
01/27/2021,01/01/2020,01/23/2021,OK,Murray County,40099,Noncore,10,176
01/27/2021,01/01/2020,01/23/2021,OK,Muskogee County,40101,Micropolitan,104,1020
01/27/2021,01/01/2020,01/23/2021,OK,Oklahoma County,40109,Large central metro,1243,11668
01/27/2021,01/01/2020,01/23/2021,OK,Okmulgee County,40111,Medium metro,16,357
01/27/2021,01/01/2020,01/23/2021,OK,Osage County,40113,Medium metro,11,278
01/27/2021,01/01/2020,01/23/2021,OK,Ottawa County,40115,Micropolitan,33,325
01/27/2021,01/01/2020,01/23/2021,OK,Payne County,40119,Micropolitan,43,553
01/27/2021,01/01/2020,01/23/2021,OK,Pittsburg County,40121,Micropolitan,58,615
01/27/2021,01/01/2020,01/23/2021,OK,Pontotoc County,40123,Micropolitan,53,432
01/27/2021,01/01/2020,01/23/2021,OK,Pottawatomie County,40125,Micropolitan,60,868
01/27/2021,01/01/2020,01/23/2021,OK,Rogers County,40131,Medium metro,42,786
01/27/2021,01/01/2020,01/23/2021,OK,Sequoyah County,40135,Medium metro,15,390
01/27/2021,01/01/2020,01/23/2021,OK,Stephens County,40137,Micropolitan,43,522
01/27/2021,01/01/2020,01/23/2021,OK,Texas County,40139,Micropolitan,16,111
01/27/2021,01/01/2020,01/23/2021,OK,Tulsa County,40143,Medium metro,1015,9401
01/27/2021,01/01/2020,01/23/2021,OK,Wagoner County,40145,Medium metro,10,395
01/27/2021,01/01/2020,01/23/2021,OK,Washington County,40147,Micropolitan,93,790
01/27/2021,01/01/2020,01/23/2021,OK,Washita County,40149,Noncore,12,115
01/27/2021,01/01/2020,01/23/2021,OK,Woods County,40151,Noncore,10,77
01/27/2021,01/01/2020,01/23/2021,OK,Woodward County,40153,Micropolitan,32,199
01/27/2021,01/01/2020,01/23/2021,OR,Benton County,41003,Small metro,17,692
01/27/2021,01/01/2020,01/23/2021,OR,Clackamas County,41005,Large fringe metro,115,3666
01/27/2021,01/01/2020,01/23/2021,OR,Deschutes County,41017,Small metro,50,1806
01/27/2021,01/01/2020,01/23/2021,OR,Douglas County,41019,Micropolitan,24,1566
01/27/2021,01/01/2020,01/23/2021,OR,Hood River County,41027,Micropolitan,16,192
01/27/2021,01/01/2020,01/23/2021,OR,Jackson County,41029,Small metro,69,2765
01/27/2021,01/01/2020,01/23/2021,OR,Josephine County,41033,Small metro,21,1256
01/27/2021,01/01/2020,01/23/2021,OR,Klamath County,41035,Micropolitan,14,859
01/27/2021,01/01/2020,01/23/2021,OR,Lane County,41039,Medium metro,83,4262
01/27/2021,01/01/2020,01/23/2021,OR,Lincoln County,41041,Micropolitan,13,547
01/27/2021,01/01/2020,01/23/2021,OR,Linn County,41043,Small metro,33,1435
01/27/2021,01/01/2020,01/23/2021,OR,Malheur County,41045,Micropolitan,16,297
01/27/2021,01/01/2020,01/23/2021,OR,Marion County,41047,Medium metro,166,3090
01/27/2021,01/01/2020,01/23/2021,OR,Multnomah County,41051,Large central metro,477,7561
01/27/2021,01/01/2020,01/23/2021,OR,Polk County,41053,Medium metro,11,594
01/27/2021,01/01/2020,01/23/2021,OR,Umatilla County,41059,Micropolitan,44,677
01/27/2021,01/01/2020,01/23/2021,OR,Wasco County,41065,Micropolitan,20,324
01/27/2021,01/01/2020,01/23/2021,OR,Washington County,41067,Large fringe metro,190,3908
01/27/2021,01/01/2020,01/23/2021,OR,Yamhill County,41071,Large fringe metro,29,952
01/27/2021,01/01/2020,01/23/2021,PA,Adams County,42001,Small metro,82,968
01/27/2021,01/01/2020,01/23/2021,PA,Allegheny County,42003,Large central metro,1474,18836
01/27/2021,01/01/2020,01/23/2021,PA,Armstrong County,42005,Large fringe metro,55,706
01/27/2021,01/01/2020,01/23/2021,PA,Beaver County,42007,Large fringe metro,246,2172
01/27/2021,01/01/2020,01/23/2021,PA,Bedford County,42009,Noncore,53,473
01/27/2021,01/01/2020,01/23/2021,PA,Berks County,42011,Medium metro,586,4478
01/27/2021,01/01/2020,01/23/2021,PA,Blair County,42013,Small metro,237,2268
01/27/2021,01/01/2020,01/23/2021,PA,Bradford County,42015,Micropolitan,105,1022
01/27/2021,01/01/2020,01/23/2021,PA,Bucks County,42017,Large fringe metro,890,7019
01/27/2021,01/01/2020,01/23/2021,PA,Butler County,42019,Large fringe metro,228,2235
01/27/2021,01/01/2020,01/23/2021,PA,Cambria County,42021,Small metro,260,2127
01/27/2021,01/01/2020,01/23/2021,PA,Carbon County,42025,Medium metro,71,725
01/27/2021,01/01/2020,01/23/2021,PA,Centre County,42027,Small metro,156,1227
01/27/2021,01/01/2020,01/23/2021,PA,Chester County,42029,Large fringe metro,626,4898
01/27/2021,01/01/2020,01/23/2021,PA,Clarion County,42031,Noncore,38,426
01/27/2021,01/01/2020,01/23/2021,PA,Clearfield County,42033,Micropolitan,55,1033
01/27/2021,01/01/2020,01/23/2021,PA,Clinton County,42035,Micropolitan,12,295
01/27/2021,01/01/2020,01/23/2021,PA,Columbia County,42037,Small metro,39,536
01/27/2021,01/01/2020,01/23/2021,PA,Crawford County,42039,Micropolitan,92,996
01/27/2021,01/01/2020,01/23/2021,PA,Cumberland County,42041,Medium metro,394,3051
01/27/2021,01/01/2020,01/23/2021,PA,Dauphin County,42043,Medium metro,432,3924
01/27/2021,01/01/2020,01/23/2021,PA,Delaware County,42045,Large fringe metro,962,6010
01/27/2021,01/01/2020,01/23/2021,PA,Elk County,42047,Noncore,14,286
01/27/2021,01/01/2020,01/23/2021,PA,Erie County,42049,Medium metro,305,3815
01/27/2021,01/01/2020,01/23/2021,PA,Fayette County,42051,Large fringe metro,103,1520
01/27/2021,01/01/2020,01/23/2021,PA,Franklin County,42055,Small metro,252,1868
01/27/2021,01/01/2020,01/23/2021,PA,Greene County,42059,Noncore,10,350
01/27/2021,01/01/2020,01/23/2021,PA,Huntingdon County,42061,Micropolitan,60,422
01/27/2021,01/01/2020,01/23/2021,PA,Indiana County,42063,Micropolitan,104,966
01/27/2021,01/01/2020,01/23/2021,PA,Jefferson County,42065,Noncore,45,501
01/27/2021,01/01/2020,01/23/2021,PA,Juniata County,42067,Noncore,26,229
01/27/2021,01/01/2020,01/23/2021,PA,Lackawanna County,42069,Medium metro,320,3388
01/27/2021,01/01/2020,01/23/2021,PA,Lancaster County,42071,Medium metro,728,6070
01/27/2021,01/01/2020,01/23/2021,PA,Lawrence County,42073,Micropolitan,107,1196
01/27/2021,01/01/2020,01/23/2021,PA,Lebanon County,42075,Small metro,165,1693
01/27/2021,01/01/2020,01/23/2021,PA,Lehigh County,42077,Medium metro,855,5779
01/27/2021,01/01/2020,01/23/2021,PA,Luzerne County,42079,Medium metro,475,4669
01/27/2021,01/01/2020,01/23/2021,PA,Lycoming County,42081,Small metro,175,1628
01/27/2021,01/01/2020,01/23/2021,PA,Mc Kean County,42083,Micropolitan,23,450
01/27/2021,01/01/2020,01/23/2021,PA,Mercer County,42085,Medium metro,149,1547
01/27/2021,01/01/2020,01/23/2021,PA,Mifflin County,42087,Micropolitan,140,708
01/27/2021,01/01/2020,01/23/2021,PA,Monroe County,42089,Small metro,189,1620
01/27/2021,01/01/2020,01/23/2021,PA,Montgomery County,42091,Large fringe metro,1594,10196
01/27/2021,01/01/2020,01/23/2021,PA,Montour County,42093,Small metro,192,1462
01/27/2021,01/01/2020,01/23/2021,PA,Northampton County,42095,Medium metro,381,3164
01/27/2021,01/01/2020,01/23/2021,PA,Northumberland County,42097,Micropolitan,162,1009
01/27/2021,01/01/2020,01/23/2021,PA,Perry County,42099,Medium metro,16,337
01/27/2021,01/01/2020,01/23/2021,PA,Philadelphia County,42101,Large central metro,2391,18739
01/27/2021,01/01/2020,01/23/2021,PA,Pike County,42103,Large fringe metro,13,337
01/27/2021,01/01/2020,01/23/2021,PA,Schuylkill County,42107,Micropolitan,208,1867
01/27/2021,01/01/2020,01/23/2021,PA,Snyder County,42109,Micropolitan,13,262
01/27/2021,01/01/2020,01/23/2021,PA,Somerset County,42111,Micropolitan,93,1012
01/27/2021,01/01/2020,01/23/2021,PA,Susquehanna County,42115,Noncore,41,433
01/27/2021,01/01/2020,01/23/2021,PA,Tioga County,42117,Noncore,51,399
01/27/2021,01/01/2020,01/23/2021,PA,Union County,42119,Micropolitan,71,534
01/27/2021,01/01/2020,01/23/2021,PA,Venango County,42121,Micropolitan,52,628
01/27/2021,01/01/2020,01/23/2021,PA,Warren County,42123,Micropolitan,31,460
01/27/2021,01/01/2020,01/23/2021,PA,Washington County,42125,Large fringe metro,130,2672
01/27/2021,01/01/2020,01/23/2021,PA,Wayne County,42127,Noncore,18,586
01/27/2021,01/01/2020,01/23/2021,PA,Westmoreland County,42129,Large fringe metro,369,4194
01/27/2021,01/01/2020,01/23/2021,PA,Wyoming County,42131,Medium metro,22,178
01/27/2021,01/01/2020,01/23/2021,PA,York County,42133,Medium metro,450,4817
01/27/2021,01/01/2020,01/23/2021,RI,Bristol County,44001,Large fringe metro,33,390
01/27/2021,01/01/2020,01/23/2021,RI,Kent County,44003,Large fringe metro,168,1700
01/27/2021,01/01/2020,01/23/2021,RI,Providence County,44007,Large central metro,1378,7871
01/27/2021,01/01/2020,01/23/2021,RI,Washington County,44009,Large fringe metro,87,1171
01/27/2021,01/01/2020,01/23/2021,SC,Aiken County,45003,Medium metro,130,1868
01/27/2021,01/01/2020,01/23/2021,SC,Anderson County,45007,Medium metro,293,2811
01/27/2021,01/01/2020,01/23/2021,SC,Barnwell County,45011,Noncore,12,189
01/27/2021,01/01/2020,01/23/2021,SC,Beaufort County,45013,Small metro,93,1684
01/27/2021,01/01/2020,01/23/2021,SC,Berkeley County,45015,Medium metro,69,1519
01/27/2021,01/01/2020,01/23/2021,SC,Calhoun County,45017,Medium metro,13,140
01/27/2021,01/01/2020,01/23/2021,SC,Charleston County,45019,Medium metro,467,5429
01/27/2021,01/01/2020,01/23/2021,SC,Cherokee County,45021,Micropolitan,13,512
01/27/2021,01/01/2020,01/23/2021,SC,Chester County,45023,Large fringe metro,21,352
01/27/2021,01/01/2020,01/23/2021,SC,Chesterfield County,45025,Noncore,36,463
01/27/2021,01/01/2020,01/23/2021,SC,Clarendon County,45027,Noncore,34,320
01/27/2021,01/01/2020,01/23/2021,SC,Colleton County,45029,Noncore,50,569
01/27/2021,01/01/2020,01/23/2021,SC,Darlington County,45031,Small metro,88,676
01/27/2021,01/01/2020,01/23/2021,SC,Dillon County,45033,Noncore,23,356
01/27/2021,01/01/2020,01/23/2021,SC,Dorchester County,45035,Medium metro,77,1011
01/27/2021,01/01/2020,01/23/2021,SC,Fairfield County,45039,Medium metro,22,240
01/27/2021,01/01/2020,01/23/2021,SC,Florence County,45041,Small metro,502,3402
01/27/2021,01/01/2020,01/23/2021,SC,Georgetown County,45043,Micropolitan,117,1072
01/27/2021,01/01/2020,01/23/2021,SC,Greenville County,45045,Medium metro,589,6093
01/27/2021,01/01/2020,01/23/2021,SC,Greenwood County,45047,Micropolitan,144,1213
01/27/2021,01/01/2020,01/23/2021,SC,Hampton County,45049,Noncore,25,188
01/27/2021,01/01/2020,01/23/2021,SC,Horry County,45051,Medium metro,339,4576
01/27/2021,01/01/2020,01/23/2021,SC,Jasper County,45053,Small metro,31,338
01/27/2021,01/01/2020,01/23/2021,SC,Kershaw County,45055,Medium metro,45,661
01/27/2021,01/01/2020,01/23/2021,SC,Lancaster County,45057,Large fringe metro,80,866
01/27/2021,01/01/2020,01/23/2021,SC,Laurens County,45059,Medium metro,56,774
01/27/2021,01/01/2020,01/23/2021,SC,Lee County,45061,Noncore,12,141
01/27/2021,01/01/2020,01/23/2021,SC,Lexington County,45063,Medium metro,270,3123
01/27/2021,01/01/2020,01/23/2021,SC,Marion County,45067,Noncore,28,342
01/27/2021,01/01/2020,01/23/2021,SC,Newberry County,45071,Micropolitan,59,443
01/27/2021,01/01/2020,01/23/2021,SC,Oconee County,45073,Micropolitan,55,980
01/27/2021,01/01/2020,01/23/2021,SC,Orangeburg County,45075,Micropolitan,146,1222
01/27/2021,01/01/2020,01/23/2021,SC,Pickens County,45077,Medium metro,80,1030
01/27/2021,01/01/2020,01/23/2021,SC,Richland County,45079,Medium metro,458,4691
01/27/2021,01/01/2020,01/23/2021,SC,Saluda County,45081,Medium metro,10,172
01/27/2021,01/01/2020,01/23/2021,SC,Spartanburg County,45083,Medium metro,499,4318
01/27/2021,01/01/2020,01/23/2021,SC,Sumter County,45085,Small metro,110,1259
01/27/2021,01/01/2020,01/23/2021,SC,Williamsburg County,45089,Noncore,20,293
01/27/2021,01/01/2020,01/23/2021,SC,York County,45091,Large fringe metro,154,2430
01/27/2021,01/01/2020,01/23/2021,SD,Beadle County,46005,Micropolitan,29,180
01/27/2021,01/01/2020,01/23/2021,SD,Bon Homme County,46009,Noncore,14,87
01/27/2021,01/01/2020,01/23/2021,SD,Brookings County,46011,Micropolitan,28,213
01/27/2021,01/01/2020,01/23/2021,SD,Brown County,46013,Micropolitan,79,495
01/27/2021,01/01/2020,01/23/2021,SD,Butte County,46019,Noncore,13,80
